net_name,net,source_url,updated_at_utc
Memphis,104,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Seattle U,105,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Sam Houston,106,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Columbia,107,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Liberty,108,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
South Carolina,109,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
San Francisco,110,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Pacific,111,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Pittsburgh,112,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Florida St.,113,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
St. Thomas (MN),114,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Grand Canyon,115,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UNCW,116,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Bradley,117,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UAB,118,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Xavier,119,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
California Baptist,120,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
DePaul,121,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Troy,122,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
New Mexico St.,123,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
ETSU,124,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UC Irvine,125,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Richmond,126,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Wright St.,127,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Southern Ill.,128,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Davidson,129,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Buffalo,130,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Penn St.,131,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UT Arlington,132,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
LMU (CA),133,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Western Ky.,134,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Georgetown,135,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Oakland,136,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Marshall,137,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Montana St.,138,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Idaho St.,139,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Arkansas St.,140,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Tarleton St.,141,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Utah,142,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Rhode Island,143,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Lipscomb,144,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Mercer,145,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Portland St.,146,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Idaho,147,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
North Dakota St.,148,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Georgia Tech,149,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Northern Colo.,150,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Cornell,151,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Elon,152,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Quinnipiac,153,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Maryland,154,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Washington St.,155,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Duquesne,156,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Kent St.,157,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
FIU,158,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UNLV,159,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Temple,160,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Kennesaw St.,161,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Robert Morris,162,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Drake,163,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Austin Peay,164,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UC Davis,165,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Iona,166,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Toledo,167,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Fresno St.,168,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Furman,169,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Marist,170,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Siena,171,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Winthrop,172,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
North Texas,173,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Marquette,174,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UC Santa Barbara,175,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
South Dakota St.,176,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Colgate,177,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UT Martin,178,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Charlotte,179,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Col. of Charleston,180,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UIW,181,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Youngstown St.,182,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
LIU,183,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Weber St.,184,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Towson,185,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
A&M-Corpus Christi,186,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Utah Tech,187,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Vermont,188,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Southern Miss.,189,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Boston College,190,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Eastern Mich.,191,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Massachusetts,192,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
FGCU,193,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Nicholls,194,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Milwaukee,195,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Ohio,196,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Rutgers,197,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Harvard,198,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
South Alabama,199,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Indiana St.,200,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Lindenwood,201,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Fordham,202,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Tennessee St.,203,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
San Diego,204,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Ga. Southern,205,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
